add;100000
addu;100001
sub;100010
subu;100011
and;100100
or;100101
xor;100110
nor;100111
slt;101010
sltu;101011
sll;000000
srl;000010
sra;000011
sllv;000100
srlv;000110
srav;000111
mfhi;010000
mthi;010001
mflo;010010
mtlo;010011
mult;011000
multu;011001
div;011010
divu;011011
jr;001000
jalr;001001
addi;001000
addiu;001001
slti;001010
sltiu;001011
andi;001100
ori;001101
xori;001110
lui;001111
bltz;000001
bgez;000001
bltzal;000001
bgezal;000001
beq;000100
bne;000101
blez;000110
bgtz;000111
lb;100000
lh;100001
lwl;100010
lw;100011
lbu;100100
lhu;100101
lwr;100110
sb;101000
sh;101001
swl;101010
sw;101011
swr;101110
j;000010
jal;000011
$t0;01000
$t1;01001
$t2;01010
$t3;01001
$t4;01100
$t5;01101
$t6;01110
$t7;01111
$s0;10000
$s1;10001
$s2;10010
$s3;10001
$s4;10100
$s5;10101
$s6;10110
$s7;10111
$zero;00000
